generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi,poison_eaten,energy_delta_mi
0,12260.7910,210800.0000,195031,0.022458,0.000000,0.021069,0.004700,0.318158,-0.774690,0.000000,0.647143,0.183178,0.000000,0.000000,12.0,12,12,6.0,6,6,5380,1.791519,3300,0.000548,0,0.000239
10,21507.6074,447750.0000,161646,0.140955,0.000000,0.063053,0.001035,0.166971,-0.711583,0.000000,0.470310,0.137223,0.150729,-0.372765,12.0,9,15,6.0,3,8,5786,1.788363,4630,0.003041,0,0.001487
20,12999.8809,245526.3906,140688,0.103283,0.000000,0.018625,0.001521,-0.955723,-0.730110,0.000000,0.420467,0.230265,0.047703,-0.097623,11.9,9,15,6.1,3,10,6415,1.774789,3720,0.011321,0,0.011883
30,23334.0000,428450.0000,184152,0.042633,0.000000,0.021324,0.003678,0.192606,-0.738824,0.000000,0.397455,0.176555,0.011203,0.098471,11.9,9,17,6.0,2,11,5827,1.774525,4031,0.001920,0,0.001710
40,19837.2598,389400.0000,172202,0.000000,0.000000,0.000000,0.003091,0.102703,-0.750991,0.000000,0.457457,0.211661,0.000000,0.000000,11.9,9,16,6.0,2,9,5879,1.777510,4813,0.003013,0,0.004098
50,26902.8438,501000.0000,181041,0.059744,0.000000,0.096513,0.003417,0.199946,-0.664127,0.000000,0.403948,0.120886,0.000000,0.000000,11.8,8,16,6.0,3,10,5717,1.753019,3883,0.004404,0,0.004223
60,29356.4199,523450.0000,188487,0.010348,0.000000,0.046317,0.006188,0.101735,-0.720151,0.000000,0.377515,0.146189,0.050026,-0.010846,11.7,8,15,6.0,2,10,5532,1.763568,3011,0.003021,0,0.002346
70,20859.2324,238972.5938,177708,0.024444,0.000000,0.042826,0.010594,-0.967791,-0.791171,0.000000,0.612024,0.144542,0.000000,0.000000,11.7,8,16,6.0,2,10,5705,1.742387,3738,0.001820,0,0.000698
80,32488.6875,506950.0000,215165,0.115587,0.000000,0.034968,0.004114,0.288476,-0.732850,0.000000,0.360408,0.158020,0.008368,-0.020529,11.7,7,16,6.0,2,9,5299,1.713683,2449,0.000706,0,0.000992
90,33439.5469,480400.0000,232189,0.024876,0.000000,0.051525,0.011240,0.243130,-0.775986,0.000000,0.502601,0.136830,0.000000,0.000000,11.8,8,16,6.0,3,9,4803,1.693264,4700,0.001870,0,0.002583
100,24865.6016,484850.0000,173843,0.000000,0.000000,0.000000,0.014000,0.135329,-0.677408,0.000000,0.312962,0.147305,0.000000,0.000000,11.7,7,16,6.0,3,9,5938,1.742241,3995,0.001662,0,0.001121
110,27387.4062,442250.0000,208139,0.052288,0.000000,0.046067,0.004736,0.265079,-0.788011,0.000000,0.519610,0.190311,0.038313,-0.061684,11.7,7,16,6.1,3,10,5399,1.732757,3714,0.001139,0,0.001040
120,48178.8203,677400.0000,236479,0.119529,0.000000,0.025587,0.016166,0.013000,-0.695497,0.000000,0.461426,0.150967,0.033631,-0.124667,11.9,7,18,6.1,3,11,4638,1.738070,2751,0.002179,0,0.000896
130,37490.2891,638900.0000,196954,0.000000,0.000000,0.000000,0.009061,0.173705,-0.687651,0.000000,0.264148,0.116927,0.000000,0.000000,11.8,7,17,6.1,3,9,5392,1.747223,4492,0.001821,0,0.001861
140,32308.8379,499750.0000,215470,0.130316,0.000000,0.018081,0.009153,0.253953,-0.773511,0.000000,0.493188,0.173410,0.013697,-0.008503,11.8,6,16,6.1,3,10,4966,1.706604,4176,0.001577,0,0.001946
150,21144.4473,423700.0000,169351,0.000000,0.000000,0.000000,0.005005,0.141658,-0.766130,0.000000,0.471570,0.077547,0.000000,0.000000,11.9,6,17,6.1,2,9,5999,1.769127,4273,0.003086,0,0.003749
