generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
0,32365,0,0,0,32322,0,0,0,31960,0,0,0,33466,0,0,0,31516,0,0,0,33402,0,0,0,0.004595,0.004114,0.003690,0.005959,0.005996,0.003799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,26206,0,0,0,30052,0,0,0,29734,0,0,0,24388,0,0,0,26597,0,0,0,24669,0,0,0,0.001266,0.000832,0.001512,0.001544,0.001083,0.000802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,18937,0,0,0,24294,0,0,0,30444,0,0,0,27051,0,0,0,18245,0,0,0,21717,0,0,0,0.001219,0.001173,0.000941,0.001344,0.001264,0.002422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,26710,0,0,0,37487,0,0,0,39698,0,0,0,29430,0,0,0,25185,0,0,0,25642,0,0,0,0.002952,0.003376,0.004549,0.003113,0.005061,0.002393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,24218,0,0,0,33499,0,0,0,36813,0,0,0,28050,0,0,0,23303,0,0,0,26319,0,0,0,0.003011,0.003852,0.003445,0.002672,0.002860,0.002704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50,23730,0,0,0,37501,0,0,0,44106,0,0,0,29260,0,0,0,18719,0,0,0,27725,0,0,0,0.004742,0.006032,0.004695,0.003685,0.005528,0.003457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,26802,0,0,0,36230,0,0,0,46266,0,0,0,26573,0,0,0,23631,0,0,0,28985,0,0,0,0.007656,0.004169,0.004529,0.006552,0.009570,0.004699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70,23537,0,0,0,36907,0,0,0,47667,0,0,0,25727,0,0,0,19963,0,0,0,23907,0,0,0,0.012687,0.010936,0.011697,0.007196,0.014186,0.009177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80,27077,0,0,0,52226,0,0,0,60039,0,0,0,27089,0,0,0,21838,0,0,0,26896,0,0,0,0.004933,0.003707,0.002136,0.005774,0.003546,0.004378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90,27005,0,0,0,55076,0,0,0,70271,0,0,0,29713,0,0,0,20453,0,0,0,29671,0,0,0,0.010497,0.016092,0.014995,0.008005,0.011484,0.007821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100,23012,0,0,0,33635,0,0,0,47845,0,0,0,25723,0,0,0,19097,0,0,0,24531,0,0,0,0.013808,0.012814,0.013593,0.017184,0.008677,0.017926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
110,29739,0,0,0,42513,0,0,0,58308,0,0,0,29200,0,0,0,21052,0,0,0,27327,0,0,0,0.003357,0.004854,0.005205,0.004092,0.005681,0.002853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
120,29548,0,0,0,43090,0,0,0,66219,0,0,0,39512,0,0,0,24798,0,0,0,33312,0,0,0,0.018218,0.017889,0.016734,0.018214,0.011913,0.021482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
